index,host,source,sourcetype,"_raw","_time"
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          3          0          3          0         94
",1358985612
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         33          0          7          0         60
",1358985642
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          4          0          3          0         93
",1358985672
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          3          0          3          0         94
",1358985702
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          3          0          3          0         94
",1358985732
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          2          0         96
",1358985762
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          3          0          3          0         95
",1358985792
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          3          0         95
",1358985822
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          4          0          2          0         94
",1358985852
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          3          0         95
",1358985882
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          2          0         96
",1358985912
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          3          0         95
",1358985942
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          2          0         96
",1358985972
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          5          0          4          0         92
",1358986002
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          2          0         95
",1358986032
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          3          0         94
",1358986062
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          2          0         96
",1358986092
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          2          0          3          0         95
",1358986122
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          6          0          3          0         91
",1358986152
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          4          0          3          0         92
",1358986182
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         43          0          9          0         48
",1358986212
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         14          0          5          0         81
",1358986242
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         16          0          4          0         80
",1358986272
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         16          0          5          0         79
",1358986302
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         10          0          4          0         86
",1358986332
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all         25          0          6          0         69
",1358986362
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          4          0          3          0         93
",1358986392
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          7          0          3          0         90
",1358986422
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          4          0          2          0         94
",1358986452
os,"kc-app-01",cpu,cpu,"CPU    pctUser    pctNice  pctSystem  pctIowait    pctIdle
all          3          0          3          0         93
",1358986482
